NAME,CODE,ELEV,LAT,LON,COUNTY,AGENCY,km3_storage
EL CAPITAN DAM,ELC,600,32.882,-116.808,SAN DIEGO,San Diego County,0.036923009
LAKE JENNINGS,JNN,707,32.854,-116.892,SAN DIEGO,.None Specified,0.009557008
MURRAY RES,MRR,542,32.782,-117.047,SAN DIEGO,San Diego County,0.004956125
MORENA DAM,MOR,3053,32.683,-116.55,SAN DIEGO,San Diego County,0.006385729
BARRETT,BRT,1607,32.678,-116.669,SAN DIEGO,San Diego County,0.024435251
LOVELAND RESERVOIR,LVD,1366,32.779,-116.792,SAN DIEGO,South Bay Irrigation District,0.009637184
SWEETWATER RESERVOIR,SW3,252,32.692,-117.007,SAN DIEGO,South Bay Irrigation District,0.012070841
LOWER OTAY,LOT,485,32.609,-116.927,SAN DIEGO,City of San Diego,0.041731116
SHASTA DAM (USBR),SHA,1067,40.718,-122.42,SHASTA,US Bureau of Reclamation,1.792957812
KESWICK RESERVOIR,KES,596,40.612104,-122.445699,SHASTA,US Bureau of Reclamation,0.027901331
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,-122.537,SHASTA,US Bureau of Reclamation,0.292459486
LAKE MCCLOUD,MCO,2700,41.135,-122.074,SHASTA,Pacific Gas & Electric,0.028384856
IRON CANYON,IRC,2675,41.045,-121.981,SHASTA,Pacific Gas & Electric,0.023635955
LAKE BRITTON,BIT,2744,41.022,-121.676,SHASTA,Pacific Gas & Electric,0.042976931
PIT R PH #7,PT7,1036,40.843,-122.015,SHASTA,Pacific Gas & Electric,0.037010586
PIT R PH #6,PT6,32,40.842,-122.001,SHASTA,Pacific Gas & Electric,0.016801239
BLACK BUTTE,BLB,426,39.808,-122.329,TEHAMA,US Army Corps of Engineers,0.037587855
STONY GORGE RESERVOIR,STG,800,39.583,-122.533,GLENN,US Bureau of Reclamation,0.008084232
EAST PARK RESERVOIR,EPK,1205,39.367,-122.517,COLUSA,US Bureau of Reclamation,0.005807227
MOUNTAIN MEADOWS,MMW,5046,40.283,-121.017,LASSEN,Pacific Gas & Electric,0.00499683
LAKE ALMANOR,ALM,4600,40.218,-121.173,PLUMAS,Pacific Gas & Electric,0.993932509
ANTELOPE LAKE,ANT,4960,40.18,-120.607,PLUMAS,CA Dept of Water Resources/O&M Oroville Field Division,0.018413399
BUTT VALLEY,BTV,4144,40.14802,-121.174174,PLUMAS,Pacific Gas & Electric,0.054669094
